id,name,sigNote
58,Rod of Faith,"SIGNATURE ""Rapture"" (customRuntime, Rapture.cs) — REWORKED 2026-06-10: the 3-turn cap is RETIRED (the band CT it read, +0x25 = ExtraTurn's WRITE target, never ticked live; recovery release player-verified same session). Now: when the +3 wielder's HP drops below 30% of max (Tuning.RaptureHpPct), Master Teleportation (movement 243 = ability.en key 499; Tuning.RaptureMoveId) REPLACES the movement field (band +0x80, 3 bytes) and is HELD UNTIL THE WIELDER RECOVERS to/above the threshold — no turn count. Recovery IS the hysteresis: the next drop below threshold arms a fresh window. Maim's save-once/hold/restore discipline + never-re-save invariant intact. Restores on unequip/tier loss/wielder death (3-tick streak)/battle exit. DUAL-WIELD: no other movement-bit writer exists (the Wellspring font bits were retired for runtime writes), so the held image carries only the teleport bit. MOVEMENT 243 CONFIRMED LIVE 2026-06-10: player teleported; FULL SIGNATURE PLAYER-VERIFIED ('works flawlessly') same session; arm-time read-back (SET/MISS) still logged; fallback: flip RaptureMoveId to 242. p3Desc: 'Below a third health, the wielder gains Master Teleportation until they recover.' The glass cannon's escape hatch — holds as long as the crisis holds."
59,Birchwood Staff,DRAFT grant ideas — +: Concentration (never miss spells); +2: Concentration + HP Boost (modest T1 survival); +3: Defense Boost (modest stat layering) (Plain learning staff with line-best evade)
60,Warlock's Staff,DRAFT grant ideas — +: Magick Boost (feed the spell-eater playstyle); +2: Magick Boost + Mana Shield (reaction: protect the caster); +3: Speed Surge (clean sequential turn-control after Mana Shield) (Spell-bounce shield against casters)
61,Mending Staff,DRAFT grant ideas — +: Doublehand (boost the healing swing); +2: Doublehand + HP Boost (front-line healer survivability); +3: Regenerate (reaction: passive heal stacks with active) (Melee heal delivery for support casters)
62,Warding Staff,DRAFT grant ideas — +: Magick Def Boost (mage survivability); +2: Magick Def Boost + Halve MP (spell economy); +3: Magick Counter (reaction: low-conflict spell retaliation) (Spellbook protection versus Silence debuffs)
63,Blazing Staff,DRAFT grant ideas — +: Swiftspell (spell-speed synergy); +2: Swiftspell + Attack Boost (T3 offensive layering); +3: First Strike (reaction: turn-order control) (Mobile Fire-bolt battery for battle-mages)
64,Sanctus Staff,DRAFT grant ideas — +: Magick Boost (stacks with the Holy theme); +2: Magick Boost + Concentration (holy reliability); +3: Adrenaline: under 30% HP grant Magick Boost + Move+1 (Holy spell-power amp for white/holy mages)
65,Zeus Mace,DRAFT grant ideas — +: Magick Boost (cap the MA-rider theme); +2: Magick Boost + Defense Boost (survive melee in gish role); +3: Speed Surge (clean sequential burst turns) (Lightning anti-mech coverage with spell power)
66,Staff of the Magi,DRAFT grant ideas — +: Magick Boost (layered spell amplification); +2: Magick Boost + Doublehand (two-handed spell bonus); +3: Swiftspell (endgame turn-order dominance) (Peak spell power for strongest heals and nukes)
67,Warbrand,DRAFT grant ideas — +: Attack Boost (raw damage king's first tier); +2: Attack Boost + Doublehand (two-handed scaling); +3: Crit:Quick (reaction: speed-chain crits) (Pure-power raw damage without evade or utility)
69,Climhazzard,DRAFT grant ideas — +: Attack Boost 209; +2: Reflexes 193; +3: Dual Wield 221 (Mercy Stroke (missing-HP damage))
70,Sasori,DRAFT grant ideas — +: Magick Counter 179; +2: First Strike 197; +3: Doublehand 220 (Scorpion Doom on hit)
71,Outrider Pistol,DRAFT grant ideas — +: Reflexes (reaction: passive evasion); +2: Reflexes + Attack Boost (team damage); +3: Move+1 (light repositioning) (Distant reliable cover fire)
72,Ironclad Repeater,DRAFT grant ideas — +: Counter (reaction: reactive fire); +2: Counter + Attack Boost (steady output); +3: Move+1 (approach range) (Trusty mid-range bombardment)
73,Stoneshooter,DRAFT grant ideas — +: Attack Boost (heavy impact); +2: Attack Boost + HP Boost (hitter endurance); +3: Move+3 (aggressive closing) (Overwhelming earthen barrage)
74,Glacial Gun,DRAFT grant ideas — +: Magick Boost (Faith scaling); +2: Magick Boost + Magick Def Boost (mage tanking); +3: Move+2 (elemental positioning) (Freezing rounds for matched foes)
75,Blaze Gun,DRAFT grant ideas — +: Magick Boost (Faith scaling); +2: Magick Boost + Concentration (hit guarantee); +3: Move+2 (elemental positioning) (Cleansing flame at range)
76,Blaster,DRAFT grant ideas — +: Magick Boost (Faith scaling); +2: Magick Boost + Doublehand (single-weapon amplification); +3: Levitate (safe positioning for close range) (Electrical devastation at point-blank)
78,Eclipsebolt,"SIGNATURE NAME = ""Eagle Eye"" — SHIPPED (EagleEye.cs + EagleEye.Policy.cs, verified live). base applies Doom at ~25% (formula 1; reverted from the 100% test config). At +3, every enemy Doom's countdown is forced to 1 (band +0x59) so the mark resolves on the victim's next turn — the gamble payoff (Eagle Eye only fires on the ~25% of hits that land Doom). PROVEN LIVE 2026-06-09: Doom bit = band +0x49 mask 0x01, countdown = +0x59 (init 3, -1 per victim turn, death at 0); wrote 1 mid-battle -> head-counter showed 1 LIVE (no cosmetic seam) -> victim died next turn (clean engine death, Dead +0x45/0x20). Undead no-op the expiry. Aura model (matches CharmLock): hastens any enemy Doom while equipped, not just the wielder's"
79,Arbalest,the Range-5 sniper's bolt cannot be evaded
80,Venombolt,"SIGNATURE NAME = ""Plague"". base now applies Poison at 100% (formula 45, like Bloodlash). SIGNATURE (SHIPPED): at +3, the venom never expires and ticks at 1.75x (engine -mhp/8 + held augment -mhp/8*0.75, floored at 1 HP so the augment never lands the kill). Runtime: LivingWeapon/Plague.cs -- latch enemies poisoned in the acted window, hold bit +0x48/0x80 + re-pin timer +0x4A to 36, apply mhp*3/32 per victim turn. Known seam: green sprite tint drops after an overridden cleanse (icon/damage stay correct)"
81,Pitchbolt,base now applies Oil at 100% (formula 45) — the only Oil source; pure growth otherwise
83,Skirmisher,"PROPOSAL 2026-06-09 — SIGNATURE ""Loosed and Gone"" (timedSpeed): at +3, Speed +2 for the wielder's first 3 turns of each battle, then reverts. p3Desc: 'Speed +2 for the first 3 turns of battle.' Ships from meta.json alone (HoldTimedStat — FIRST shipping user of the timed-stat path; one live verify: +2 Speed turns 1-3, reverts turn 4). The category's one Speed taste, bounded so it can't snowball. Old Move+1/Reflexes/Speed Surge drafts invalid (movement/reaction slots)"
84,Windrunner,"PROPOSAL 2026-06-09 — pure growth (unanimous 3/3): its niche IS the clean statline (2nd-best evade 15 + colorless = safe vs absorbers, the true Frostarc sidegrade); a toy would tilt the T2 pair the dominance gate was built around. Old Parry draft invalid (reaction)"
85,Frostarc,"PROPOSAL 2026-06-09 — pure growth: the may-cast Blizzard (Ability-en 24, formula 2) IS the signature in base-data form. PROSE STALE: identity still claims 'equal WP5, evade-for-element' but ships wp4/ev5/r4 + proc — refresh before ship. Playtest lever on file (declined for now): range 4->5, no dominance either way. If Stormsurge proves fun live, Frostarc is the natural second Magick Boost user later"
86,Stormarc,"SIGNATURE ""Chain Lightning"" (customRuntime, Ricochet.cs) — VERIFIED LIVE 2026-06-09: at +3, when the wielder's action damages an enemy, the nearest OTHER enemy within 3 tiles takes 50% chip of the victim's ACTUAL HP lost (overkill doesn't propagate; floor 1 HP — never kills, never chains, allies never chipped; enemy filter = static-array fingerprints). Live read: 999-display overkill on a 474-HP victim chipped the neighbor 237 — math exact. p3Desc: 'Lightning arcs from its mark to the nearest foe.' BALANCE OPEN: Patrick wants the Aim-only gate (needs the action-id probe; candidate ids 402-410); fallbacks once-per-acted-period / lower pct. SHIP BLOCKER: revert the test config (wp 99->5, range 6->7, ricochetRadius 8->3)"
87,Skypiercer,"PROPOSAL 2026-06-09 — pure growth (unanimous): identity lives in the base item (longest non-capstone range 8, Wind, Wind Slash proc 131, 0-evade glass). Flavor-perfect grants (Ignore Elevation/First Strike) structurally off-limits (movement/reaction). Gale Shot (guaranteed knockback) PROBED + PARKED 2026-06-09: band position writes are engine-real but the renderer never re-derives (compounding sprite desync) — needs the render-struct RE spike; legal fallback if wanted: may-cast Rush proc 147 ~25% (Cleaver tech)"
88,Tidecaller,"PROPOSAL 2026-06-09 — pure growth + MANDATORY PROSE FIX: identity/flavor still claim 'Silence on hit (proc 10)' but the data ships 127 = Torrent (water damage, Toad chance) — decide what Tidecaller IS (water-control?) before any signature. 'Breakwater' (212 Magick Def Boost) on file as the ready sig if re-flavored; 'Drowned Voice' Silence-latch rejected (its trigger no longer exists)"
89,Huntress,"SIGNATURE ""Maim"" (customRuntime, mechanics PROVEN LIVE 2026-06-09) — at +3, enemies struck by this weapon lose their REACTION abilities for 3 of their turns, then the saved bits restore. Cripple probe proved both halves: hold-zero combat +0x94 suppressed a Br-74 Counter through 5 hits (0.26^5 ~ 0.1% luck) AND a one-shot restore brought it back (it countered again). Runtime = acted-latch victims (Ricochet detector) + save/hold/restore + per-victim turn counter (CharmLock pattern). p3Desc draft: 'Foes it strikes lose their reactions for 3 turns.' RECOMMENDED BASE EDIT stands: proc 214 Arm Shot -> 213 Leg Shot (T5 pins, T6 Perseus deletes). PROSE STALE: identity claims WP9, ships WP8 + may-cast"
90,Yoichi Bow,"PROPOSAL 2026-06-09 — SIGNATURE ""Fan-Splitter"" (support 213 Concentration): at +3 attacks cannot be evaded — Nasu no Yoichi's one impossible shot. p3Desc: 'Attacks cannot be evaded.' Unanimous 3/3; second shipped 213 (Gloomfang precedent), trivial oracle (hit% preview snaps to 100). With Perseus the T6 pair becomes a real choice: best bow on day one vs best bow you've killed 50 things with"
91,Perseus Bow,"Pure growth — signature draft DROPPED 2026-06-09 (curator call). Perseus = static power vs Yoichi = living payoff; the base item (max WP 16, max range 9, Holy, May disable) IS the identity. Attack Boost rejected earlier (would hollow Yoichi)"
92,Siren's Lyre,DRAFT grant ideas — +: Magick Boost (boost the Confuse proc); +2: Magick Boost + Halve MP (sustained support); +3: Speed Surge (reaction: tempo control) (Confusion to control early threats)
93,Duskstring Harp,DRAFT grant ideas — +: Defense Boost (support survivability); +2: Defense Boost + Concentration (defensive control); +3: Mana Shield (reaction: survive while shutting down) (Ranged Blind to neuter bruisers)
94,Faerie Harp,DRAFT grant ideas — +: Magick Boost (empower the Charm proc); +2: Magick Boost + Swiftspell (combo enabler); +3: First Strike (reaction: act first in lullaby setup) (Faerie lullaby soft CC for burst setups)
95,Glarebound Tome,DRAFT grant ideas — +: Magick Boost (MA+1 spell-power edge); +2: Magick Boost + Concentration (Blind always lands); +3: Auto-Potion (modest passive survival buffer) (Ranged Blind opener that neuters early physical threats)
96,Knell Codex,DRAFT grant ideas — +: Magick Boost (spell-power rider); +2: Magick Boost + Magick Def Boost (hardened ranged mage); +3: Soulbind (fate-lock complements the Doom countdown) (Execution codex that brands a target for countdown KO)
97,Binding Codex,DRAFT grant ideas — +: Magick Boost (spell-power rider); +2: Attack Boost + Magick Boost (pin + dual-offense followup); +3: Teleport (escape hatch after rooting a threat) (Pin codex that roots charges and runners in place)
98,Omnilex,DRAFT grant ideas — +: Magick Boost (spell-power baseline); +2: Magick Boost + Concentration (never-miss dispels); +3: Concentration + Doublehand (single-target focus capstone) (Holy capstone that silences and strips hostile buffs)
99,Skewer,DRAFT grant ideas — +: Move+1 230; +2: Brawler 216; +3: Halve MP 206 (Early Dragoon reach foundation)
100,Footman's Spear,DRAFT grant ideas — +: Move+2 231; +2: Attack Boost 209; +3: Defense Boost 210 (Pure PA*WP strike)
101,Frostpoint,DRAFT grant ideas — +: Move+2 231; +2: Magick Boost 211; +3: Magick Def Boost 212 (Glacial Ice bite)
102,Stormpike,DRAFT grant ideas — +: Move+2 231; +2: Attack Boost 209; +3: Magick Boost 211 (Lightning jab)
103,Tombspire,DRAFT grant ideas — +: Jump+1 233; +2: Jump+2 234; +3: Concentration 213 (Immobilize executioner)
104,Holy Lance,DRAFT grant ideas — +: Jump+2 234; +2: Dragonheart 171; +3: Regenerate 172 (Holy anti-Undead crusade)
105,Dragon Whisker,DRAFT grant ideas — +: Jump+3 235; +2: Soulbind 190; +3: Reflexes 193 (Jump capstone PA ceiling)
106,Wyrmpike,DRAFT grant ideas — +: Jump+2 234; +2: First Strike 197; +3: Dragonheart 171 (Wind+Doom two-handed finisher)
107,Greenwood Pole,DRAFT grant ideas — +: Concentration (never-miss enabler for early Martial Arts); +2: Concentration + HP Boost (T1 survival); +3: Brawler (Monk physical reinforcer at mid-tier unlock) (Honest T1 reach starter for Monk and Geomancer)
108,Ironreed Pole,"DRAFT grant ideas — +: Reflexes (reaction: dodge-first, springy and swift); +2: Reflexes + Attack Boost (raw stat lane); +3: First Strike (reaction: acts first after dodging) (T2 baseline reach for monks who want raw speed)"
109,Slumber Rod,DRAFT grant ideas — +: Concentration (Sleep setup — guaranteed landing); +2: Concentration + Magick Boost (mage auxiliary strike); +3: Crit:Quick (reaction: snowball off the sleeping target) (T3 Sleep-control pole for setup-heavy builds)
110,Hushfan,DRAFT grant ideas — +: Mana Shield (reaction: halve magic — lock down casters); +2: Mana Shield + Magick Def Boost (warded dodge-tank); +3: Reflexes (clean sequential with Mana Shield) (T3 dodge-tank anti-caster with Silence reach)
111,Sage's Pole,DRAFT grant ideas — +: Magick Boost (raw spell scaling); +2: Magick Boost + Concentration (caster never-miss); +3: Doublehand (1.5x MA single-wield spell capstone) (T5 clean caster pole — no gimmick just MA power)
112,Ivory Pole,DRAFT grant ideas — +: Brawler (raw melee authority); +2: Brawler + Attack Boost (blinded foes can't dodge); +3: Parry (solo reaction capstone — NOT paired) (T4 Blind debuffer — neuter bruisers from range)
113,Eight-Fluted Pole,DRAFT grant ideas — +: Regenerate (heal over time pairs with Poison); +2: Regenerate + HP Boost (endgame survival); +3: Dragonheart (reaction: enemy spells become healing) (T6 attrition capstone — Poison endurance over burst)
114,Whale Whisker,DRAFT grant ideas — +: Magick Boost (endgame spell power); +2: Magick Boost + Concentration (unerring spellcraft); +3: Doublehand (1.5x MA reinforces the MA lane) (T6 caster capstone — highest-MA pole Water element)
115,Sandman Satchel,DRAFT grant ideas — +: Parry (block while targets sleep); +2: Speed Surge (extra turns vs sleepers); +3: Auto-Potion (sustain long control fights) (Sleep-on-hit disruption)
116,Fallingstar Bag,DRAFT grant ideas — +: Concentration (never miss with max WP); +2: Concentration + Attack Boost (raw blunt force); +3: Doublehand (maximize two-handed bludgeon) (Pure damage ceiling)
117,Hornet Pouch,DRAFT grant ideas — +: Halve MP (stretch resources as poison ticks); +2: Beastmaster (coordinate poison with summons); +3: Regenerate (heal while reapplying poison) (Poison attrition via steady chip)
118,Hexweave Bag,DRAFT grant ideas — +: Defense Boost (tank caster counters); +2: Defense Boost + Magick Boost (gish layering); +3: Soulbind (reactive drain punishing enemy casts) (Mage-killer through Silence)
119,Tarsilk Veil,DRAFT grant ideas — +: Speed Surge (reaction: defensive tempo); +2: Speed Surge + Concentration (never-miss Oil procs); +3: First Strike (reaction: initiate combos early) (Combo primer behind a dodge wall)
120,Bindsilk Veil,DRAFT grant ideas — +: Dual Wield (double immobilize attempts); +2: Dual Wield + Reflexes (dodge counter-retaliation); +3: Shirahadori (reaction: parry feeds lockdown) (Evasion lockdown pinning tool)
121,Gravesilk Veil,DRAFT grant ideas — +: Magick Boost (amplify Gravity landings); +2: Magick Boost + Concentration (Gravity always lands); +3: Soulbind (reaction: convert gravity kills to healing) (Gravity dealer ignoring physical stats)
